-1.00	0.40	5.20	2.80	9.60	6.00	4.40	18.40	10.40	10.00	4.00	3.20	5.60	19.60	22.00	21.20	14.00	10.00	9.60	4.40	14.30	5.60	2.00	21.60	12.40	8.00
-1.00	0.40	1.20	19.60	5.60	15.20	5.60	2.00	13.20	5.60	9.20	5.20	4.00	2.40	8.40	4.80	3.50	4.40	8.00	9.60	10.80	4.40	3.20	12.40	8.80	6.80
-1.00	2.40	5.20	4.00	3.50	18.00	12.80	17.60	12.00	4.40	5.60	14.80	29.60	32.40	39.20	24.00	18.40	14.30	7.10	15.60	6.80	13.20	11.20	6.40	7.10	4.00
1.00	0.40	2.00	3.20	11.60	11.20	11.20	9.20	8.40	9.60	8.40	9.20	14.30	13.20	9.60	7.10	6.00	10.00	6.40	4.80	5.20	4.80	7.10	3.20	11.60	8.80
-1.00	0.40	10.00	16.80	9.60	9.20	11.60	10.00	12.80	7.60	21.20	14.80	10.80	8.40	7.10	4.80	8.00	7.10	6.40	14.80	7.60	4.40	5.20	11.60	28.70	13.60
1.00	0.40	4.40	10.80	19.60	9.20	15.60	2.80	5.20	21.20	17.60	9.20	5.60	3.20	28.40	18.00	8.00	2.80	2.00	4.40	9.60	2.40	1.60	1.60	2.00	9.20
1.00	2.80	8.40	15.60	26.00	19.20	30.40	17.60	12.00	7.60	13.60	8.40	20.00	10.00	4.40	4.00	2.80	14.00	15.60	8.40	8.40	16.00	17.60	18.70	5.60	6.80
1.00	1.60	4.40	14.80	11.20	11.60	20.00	6.80	6.00	10.40	12.40	10.00	22.70	14.80	11.20	6.00	2.80	10.80	4.00	1.20	1.60	0.40	14.30	16.80	6.80	1.20
-1.00	0.40	2.40	3.50	20.40	14.30	9.60	4.40	7.10	0.40	2.40	3.50	4.80	4.80	15.60	9.20	5.20	14.80	10.00	2.40	0.40	2.00	8.80	30.00	16.00	13.60
1.00	1.60	2.80	17.20	25.20	13.20	14.30	9.20	4.40	2.40	1.20	3.20	22.40	5.60	6.00	2.00	2.40	6.80	28.40	39.20	26.00	18.40	10.80	2.80	2.40	6.00
